word,ai_count,human_count,ai_per_1000_tokens,human_per_1000_tokens,delta_per_1000_tokens,ai_to_human_ratio
Delve,15,28,0.0018,0.0045,-0.0027,0.3960
Underscore,2,2,0.0002,0.0003,-0.0001,0.7391
Foster,88,120,0.0104,0.0192,-0.0088,0.5420
Leverage,100,80,0.0118,0.0128,-0.0010,0.9239
Utilize,5,62,0.0006,0.0099,-0.0093,0.0596
Facilitate,21,27,0.0025,0.0043,-0.0018,0.5749
Elevate,23,11,0.0027,0.0018,0.0010,1.5454
Empower,28,8,0.0033,0.0013,0.0020,2.5869
Catalyze,0,4,0.0000,0.0006,-0.0006,0.0000
Catalyst,58,28,0.0068,0.0045,0.0024,1.5310
Harness,15,21,0.0018,0.0034,-0.0016,0.5279
Illuminate,1,6,0.0001,0.0010,-0.0008,0.1232
Bolster,0,8,0.0000,0.0013,-0.0013,0.0000
Streamline,29,15,0.0034,0.0024,0.0010,1.4290
Augment,4,4,0.0005,0.0006,-0.0002,0.7391
Revolutionize,10,11,0.0012,0.0018,-0.0006,0.6719
Transform,14,22,0.0017,0.0035,-0.0019,0.4703
Ignite,4,9,0.0005,0.0014,-0.0010,0.3285
Embrace,67,97,0.0079,0.0155,-0.0076,0.5105
Propel,2,10,0.0002,0.0016,-0.0014,0.1478
Navigate,695,78,0.0821,0.0125,0.0696,6.5857
Realm,60,119,0.0071,0.0190,-0.0119,0.3727
Landscape,267,85,0.0315,0.0136,0.0179,2.3217
Tapestry,7,28,0.0008,0.0045,-0.0036,0.1848
Testament,145,63,0.0171,0.0101,0.0071,1.7011
Cornerstone,9,9,0.0011,0.0014,-0.0004,0.7391
Epitome,16,12,0.0019,0.0019,-0.0000,0.9855
Paradigm,13,20,0.0015,0.0032,-0.0017,0.4804
Plethora,0,20,0.0000,0.0032,-0.0032,0.0000
Beacon,35,27,0.0041,0.0043,-0.0002,0.9581
Blueprint,22,8,0.0026,0.0013,0.0013,2.0326
Nuance,596,64,0.0704,0.0102,0.0601,6.8830
Nuanced,1644,55,0.1941,0.0088,0.1853,22.0928
Intricacies,20,10,0.0024,0.0016,0.0008,1.4782
Symphony,6,13,0.0007,0.0021,-0.0014,0.3411
Hub,30,25,0.0035,0.0040,-0.0005,0.8869
Intersection,17,56,0.0020,0.0089,-0.0069,0.2244
Crucial,473,106,0.0558,0.0169,0.0389,3.2981
Paramount,14,11,0.0017,0.0018,-0.0001,0.9407
Vital,92,53,0.0109,0.0085,0.0024,1.2830
Pivotal,19,19,0.0022,0.0030,-0.0008,0.7391
Comprehensive,162,129,0.0191,0.0206,-0.0015,0.9282
Significant,629,431,0.0743,0.0689,0.0054,1.0787
Profound,180,76,0.0213,0.0121,0.0091,1.7505
Remarkable,39,52,0.0046,0.0083,-0.0037,0.5543
Unwavering,10,21,0.0012,0.0034,-0.0022,0.3520
Unprecedented,46,36,0.0054,0.0058,-0.0003,0.9444
Invaluable,15,17,0.0018,0.0027,-0.0009,0.6522
Indelible,0,7,0.0000,0.0011,-0.0011,0.0000
Dynamic,544,145,0.0642,0.0232,0.0411,2.7730
Holistic,25,14,0.0030,0.0022,0.0007,1.3198
Vibrant,15,29,0.0018,0.0046,-0.0029,0.3823
Stark,182,47,0.0215,0.0075,0.0140,2.8621
Relentless,32,31,0.0038,0.0050,-0.0012,0.7630
Heartfelt,56,14,0.0066,0.0022,0.0044,2.9565
Pervasive,44,16,0.0052,0.0026,0.0026,2.0326
Seamless,35,25,0.0041,0.0040,0.0001,1.0348
Furthermore,2,71,0.0002,0.0113,-0.0111,0.0208
Moreover,2,64,0.0002,0.0102,-0.0100,0.0231
Consequently,1,21,0.0001,0.0034,-0.0032,0.0352
Subsequently,1,25,0.0001,0.0040,-0.0039,0.0296
Therefore,54,422,0.0064,0.0674,-0.0610,0.0946
Nonetheless,7,67,0.0008,0.0107,-0.0099,0.0772
Importantly,53,131,0.0063,0.0209,-0.0147,0.2990
Interestingly,4,46,0.0005,0.0073,-0.0069,0.0643
Paradoxically,1,2,0.0001,0.0003,-0.0002,0.3696
Ultimately,239,280,0.0282,0.0447,-0.0165,0.6309
Indeed,289,297,0.0341,0.0474,-0.0133,0.7192
Conversely,10,16,0.0012,0.0026,-0.0014,0.4619
Hence,12,155,0.0014,0.0248,-0.0233,0.0572
Thus,4,410,0.0005,0.0655,-0.0650,0.0072
Cutting-edge,14,15,0.0017,0.0024,-0.0007,0.6898
Game-changing,11,1,0.0013,0.0002,0.0011,8.1303
Innovative,62,56,0.0073,0.0089,-0.0016,0.8183
State-of-the-art,2,5,0.0002,0.0008,-0.0006,0.2956
Scalable,11,8,0.0013,0.0013,0.0000,1.0163
Robust,88,58,0.0104,0.0093,0.0011,1.1214
Synergy,6,6,0.0007,0.0010,-0.0003,0.7391
Synergies,0,0,0.0000,0.0000,0.0000,
Actionable,19,17,0.0022,0.0027,-0.0005,0.8261
Data-driven,11,10,0.0013,0.0016,-0.0003,0.8130
Customer-centric,1,1,0.0001,0.0002,-0.0000,0.7391
Revolutionary,66,69,0.0078,0.0110,-0.0032,0.7070
Groundbreaking,50,20,0.0059,0.0032,0.0027,1.8478
Core,502,265,0.0593,0.0423,0.0169,1.4001
Simply,208,1199,0.0246,0.1915,-0.1670,0.1282
Fast-paced,6,5,0.0007,0.0008,-0.0001,0.8869
Digital,390,306,0.0460,0.0489,-0.0028,0.9420
Ever-evolving,0,6,0.0000,0.0010,-0.0010,0.0000
Dive,256,104,0.0302,0.0166,0.0136,1.8194
Guide,113,209,0.0133,0.0334,-0.0200,0.3996
Understanding,2363,731,0.2790,0.1168,0.1622,2.3892
